#{"t_start": 1783679459.1440916, "env_id": "None"}
r,l,t
68.40283,207,36.25407
-54.696382,60,36.318751
37.864791,163,36.535468
-80.194393,28,36.585267
-84.562157,22,36.626236
-57.214333,55,36.700217
-72.422016,38,36.751803
-71.926217,44,36.808053
-66.066537,44,36.858832
-24.759036,91,36.969402
-59.775199,52,37.035099
-62.921264,48,37.087242
-9.790352,103,37.229471
-75.103793,35,37.275155
-51.316114,65,37.373976
-18.432614,98,37.509463
-30.810022,87,37.620429
-70.590496,39,37.663638
-24.248288,97,37.786285
26.397818,156,37.975849
-79.328891,33,38.015041
-77.36725,30,38.049949
-62.49273,48,38.114338
-34.072431,87,38.22026
-87.821915,19,38.244473
-95.986375,9,38.255463
-94.488524,10,38.271194
-86.627015,21,38.30131
-88.068291,20,38.326751
-78.617383,31,38.35874
-77.200317,33,38.402276
145.343159,290,38.750006
-34.385857,91,38.848553
-73.811096,37,38.886112
-75.858537,32,38.948524
-76.466062,32,39.009175
-80.242017,27,39.047404
-63.010047,47,39.113122
-71.674129,46,39.168869
28.621758,153,39.343472
-79.659693,33,39.382043
-50.179732,64,39.463605
26.014013,145,39.64782
-68.363888,41,39.696656
-23.767707,92,39.798866
-60.343807,51,39.855206
-73.31814,37,39.898407
-14.828268,100,40.019905
49.782177,188,40.239471
387.487177,452,40.765284
-67.222428,43,40.821331
146.962802,292,41.176394
-90.976942,16,41.19581
-69.954358,41,41.242805
-76.023918,33,41.288855
-76.160546,32,41.323233
109.789536,245,41.619011
-73.052407,35,41.66304
35.61451,163,41.858848
-22.170753,91,41.970421
-74.127726,35,42.017572
17.947939,144,42.190436
17.69288,144,42.374969
-61.299164,54,42.433488
-62.628807,49,42.492283
-15.023313,101,42.628063
36.365148,155,42.827121
75.027122,204,43.074889
